area_fips,naics_code,annual_avg_emplvl,STATE
44000,812,5721,44.0
44000,813,7203,44.0
44000,814,729,44.0
44000,921,4142,44.0
44000,922,9056,44.0
44000,923,2401,44.0
44000,924,1042,44.0
44000,925,576,44.0
44000,926,1500,44.0
44000,928,4856,44.0
44000,999,67,44.0
45000,111,3950,45.0
45000,112,1628,45.0
45000,113,3008,45.0
45000,114,111,45.0
45000,115,2237,45.0
45000,211,0,45.0
45000,212,1568,45.0
45000,213,0,45.0
45000,221,15339,45.0
45000,236,24174,45.0
45000,237,16529,45.0
45000,238,63621,45.0
45000,311,18448,45.0
45000,312,1842,45.0
45000,313,14881,45.0
45000,314,3418,45.0
45000,315,859,45.0
45000,316,65,45.0
45000,321,8812,45.0
45000,322,12333,45.0
45000,323,5048,45.0
45000,324,467,45.0
45000,325,22651,45.0
45000,326,23439,45.0
45000,327,7544,45.0
45000,331,5709,45.0
45000,332,25513,45.0
45000,333,20871,45.0
45000,334,6519,45.0
45000,335,12715,45.0
45000,336,47990,45.0
45000,337,2985,45.0
45000,339,7611,45.0
45000,423,36733,45.0
45000,424,21422,45.0
45000,425,13839,45.0
45000,441,32364,45.0
45000,442,6979,45.0
45000,443,5626,45.0
45000,444,23352,45.0
45000,445,46537,45.0
45000,446,15899,45.0
45000,447,18580,45.0
45000,448,21587,45.0
45000,451,9076,45.0
45000,452,56082,45.0
45000,453,11701,45.0
45000,454,4849,45.0
45000,481,1014,45.0
45000,483,349,45.0
45000,484,22217,45.0
45000,485,2866,45.0
45000,486,82,45.0
45000,487,629,45.0
45000,488,9744,45.0
45000,491,8259,45.0
45000,492,8686,45.0
45000,493,21871,45.0
45000,511,5818,45.0
45000,512,2505,45.0
45000,515,2483,45.0
45000,517,12456,45.0
45000,518,3628,45.0
45000,519,3010,45.0
45000,521,41,45.0
45000,522,35900,45.0
45000,523,4736,45.0
45000,524,29093,45.0
45000,525,107,45.0
45000,531,23100,45.0
45000,532,8498,45.0
45000,533,199,45.0
45000,541,103467,45.0
45000,551,21395,45.0
45000,561,157815,45.0
45000,562,12189,45.0
45000,611,169552,45.0
45000,621,101161,45.0
45000,622,90743,45.0
45000,623,44505,45.0
45000,624,37600,45.0
45000,711,4845,45.0
45000,712,2226,45.0
45000,713,27020,45.0
45000,721,32108,45.0
45000,722,200338,45.0
45000,811,20577,45.0
45000,812,18628,45.0
45000,813,10655,45.0
45000,814,3941,45.0
45000,921,55918,45.0
45000,922,16121,45.0
45000,923,18509,45.0
45000,924,4359,45.0
45000,925,298,45.0
45000,926,11028,45.0
45000,927,2,45.0
45000,928,8473,45.0
45000,999,7,45.0
46000,111,1737,46.0
46000,112,3602,46.0
46000,113,111,46.0
46000,114,11,46.0
46000,115,488,46.0
46000,211,24,46.0
46000,212,825,46.0
46000,213,33,46.0
46000,221,2216,46.0
46000,236,5911,46.0
46000,237,3561,46.0
46000,238,13539,46.0
46000,311,10280,46.0
46000,312,212,46.0
46000,313,0,46.0
46000,314,527,46.0
46000,315,0,46.0
46000,316,0,46.0
46000,321,2091,46.0
46000,322,692,46.0
46000,323,1320,46.0
46000,324,0,46.0
46000,325,1103,46.0
46000,326,1587,46.0
46000,327,1676,46.0
46000,331,598,46.0
46000,332,3934,46.0
46000,333,6773,46.0
46000,334,2065,46.0
46000,335,452,46.0
46000,336,3593,46.0
46000,337,2495,46.0
46000,339,4969,46.0
46000,423,10005,46.0
46000,424,10312,46.0
46000,425,541,46.0
46000,441,7764,46.0
46000,442,1463,46.0
46000,443,1428,46.0
46000,444,5709,46.0
46000,445,9343,46.0
46000,446,1940,46.0
46000,447,6686,46.0
46000,448,2705,46.0
46000,451,2299,46.0
46000,452,9323,46.0
46000,453,2567,46.0
46000,454,1089,46.0
46000,481,276,46.0
46000,484,5325,46.0
46000,485,1289,46.0
46000,486,109,46.0
46000,487,102,46.0
46000,488,989,46.0
46000,491,2018,46.0
46000,492,1684,46.0
46000,493,831,46.0
46000,511,1212,46.0
46000,512,612,46.0
46000,515,1049,46.0
46000,517,2544,46.0
46000,518,149,46.0
46000,519,99,46.0
46000,522,16424,46.0
46000,523,1286,46.0
46000,524,7334,46.0
46000,525,15,46.0
46000,531,2915,46.0
46000,532,885,46.0
46000,533,79,46.0
46000,541,14828,46.0
46000,551,5265,46.0
46000,561,12268,46.0
46000,562,929,46.0
46000,611,35680,46.0
46000,621,17684,46.0
46000,622,29852,46.0
46000,623,13353,46.0
46000,624,8958,46.0
46000,711,1411,46.0
46000,712,1223,46.0
46000,713,6167,46.0
46000,721,9201,46.0
46000,722,31635,46.0
46000,811,4460,46.0
46000,812,3010,46.0
46000,813,3502,46.0
46000,814,194,46.0
46000,921,18282,46.0
46000,922,2267,46.0
46000,923,1796,46.0
46000,924,1879,46.0
46000,925,189,46.0
46000,926,1650,46.0
46000,928,1099,46.0
47000,111,3917,47.0
47000,112,1530,47.0
47000,113,872,47.0
